N,k,inf_rate,model,max_inf,t_max
1000.0,2.0,0.7,64,68,75
1000.0,2.0,0.7,65,50,24
1000.0,2.0,0.7,66,67,29
1000.0,2.0,0.7,67,61,28
1000.0,2.0,0.7,68,63,30
1000.0,2.0,0.7,69,70,39
1000.0,2.0,0.7,70,68,78
1000.0,2.0,0.7,71,65,63
1000.0,2.0,0.7,72,61,28
1000.0,2.0,0.7,73,41,21
1000.0,2.0,0.7,74,75,247
1000.0,2.0,0.7,75,67,127
1000.0,2.0,0.7,76,37,23
1000.0,2.0,0.7,77,69,155
1000.0,2.0,0.7,78,70,31
1000.0,2.0,0.7,79,72,80
1000.0,2.0,0.7,80,68,62
1000.0,2.0,0.7,81,52,22
1000.0,2.0,0.7,82,65,53
1000.0,2.0,0.7,83,64,29
1000.0,2.0,0.7,84,67,66
1000.0,2.0,0.7,85,59,35
1000.0,2.0,0.7,86,59,42
1000.0,2.0,0.7,87,72,58
1000.0,2.0,0.7,88,62,28
1000.0,2.0,0.7,89,70,98
1000.0,2.0,0.7,90,50,35
1000.0,2.0,0.7,91,74,116
1000.0,2.0,0.7,92,52,22
1000.0,2.0,0.7,93,64,56
1000.0,2.0,0.7,94,55,27
1000.0,2.0,0.7,95,67,58
1000.0,2.0,0.7,96,64,38
1000.0,2.0,0.7,97,61,29
1000.0,2.0,0.7,98,73,115
1000.0,2.0,0.7,99,65,135
1000.0,2.0,0.8,0,72,68
1000.0,2.0,0.8,1,73,127
1000.0,2.0,0.8,2,78,25
1000.0,2.0,0.8,3,58,49
1000.0,2.0,0.8,4,59,110
1000.0,2.0,0.8,5,74,79
1000.0,2.0,0.8,6,85,189
1000.0,2.0,0.8,7,77,73
1000.0,2.0,0.8,8,67,41
1000.0,2.0,0.8,9,61,24
1000.0,2.0,0.8,10,69,36
1000.0,2.0,0.8,11,63,29
1000.0,2.0,0.8,12,64,44
1000.0,2.0,0.8,13,63,24
1000.0,2.0,0.8,14,73,92
1000.0,2.0,0.8,15,72,66
1000.0,2.0,0.8,16,74,56
1000.0,2.0,0.8,17,76,38
1000.0,2.0,0.8,18,70,33
1000.0,2.0,0.8,19,56,57
1000.0,2.0,0.8,20,58,113
1000.0,2.0,0.8,21,82,37
1000.0,2.0,0.8,22,67,27
1000.0,2.0,0.8,23,73,80
1000.0,2.0,0.8,24,75,49
1000.0,2.0,0.8,25,74,103
1000.0,2.0,0.8,26,80,154
1000.0,2.0,0.8,27,58,26
1000.0,2.0,0.8,28,74,246
1000.0,2.0,0.8,29,73,29
